OBJECTID,LocationID,global_ave,str_time,direct_ave,diff_ave,dir_dur
1,AC01,1.765008569,2024-02-01 0:00:00,1.265803576,0.499205083,10.11792946
2,AC01,1.795318246,2024-02-02 0:00:00,1.289476871,0.505841374,10.10910416
3,AC01,1.826239228,2024-02-03 0:00:00,1.313667417,0.512571871,10.1258173
4,AC01,1.85779047,2024-02-04 0:00:00,1.338382602,0.519407868,10.12914276
5,AC01,1.889962673,2024-02-05 0:00:00,1.363616705,0.526345909,10.18097687
6,AC01,1.922749639,2024-02-06 0:00:00,1.389363885,0.533385754,10.18690109
7,AC01,1.956069469,2024-02-07 0:00:00,1.415581703,0.540487826,10.19425201
8,AC01,1.989976168,2024-02-08 0:00:00,1.442293525,0.547682643,10.23131847
9,AC01,2.023387194,2024-02-09 0:00:00,1.468829393,0.55455792,10.27820492
10,AC01,2.059535503,2024-02-10 0:00:00,1.497203469,0.562331855,10.31545639
11,AC01,2.094474554,2024-02-11 0:00:00,1.525021672,0.569452941,10.41287994
12,AC01,2.130547523,2024-02-12 0:00:00,1.553600311,0.576947153,10.35473824
13,AC01,2.167119265,2024-02-13 0:00:00,1.582614183,0.584505022,10.46602345
14,AC01,2.204173565,2024-02-14 0:00:00,1.612051368,0.592122078,10.41934776
15,AC01,2.24170208,2024-02-15 0:00:00,1.641903043,0.599798977,10.49714375
16,AC01,2.279690981,2024-02-16 0:00:00,1.672157764,0.607533276,10.53422451
17,AC01,2.318127871,2024-02-17 0:00:00,1.702804685,0.615323186,10.55290318
18,AC01,2.356970549,2024-02-18 0:00:00,1.733820796,0.623149812,10.61715794
19,AC01,2.396221399,2024-02-19 0:00:00,1.765200853,0.631020606,10.64511395
20,AC01,2.435868979,2024-02-20 0:00:00,1.796934128,0.638934851,10.6752224
21,AC01,2.475900173,2024-02-21 0:00:00,1.829009295,0.646890759,10.72645378
22,AC01,2.516294003,2024-02-22 0:00:00,1.861411572,0.654882491,10.82043362
23,AC01,2.557003975,2024-02-23 0:00:00,1.894114375,0.6628896,10.82178307
24,AC01,2.598045349,2024-02-24 0:00:00,1.927118421,0.670926988,10.92598152
25,AC01,2.639404774,2024-02-25 0:00:00,1.960411668,0.678992987,11.00188637
26,AC01,2.68106842,2024-02-26 0:00:00,1.993982315,0.687086165,10.97359562
27,AC01,2.722996473,2024-02-27 0:00:00,2.027806044,0.695190609,11.04496956
28,AC01,2.76515317,2024-02-28 0:00:00,2.061859846,0.703293443,11.01906872
29,AC01,2.807558298,2024-02-29 0:00:00,2.096146584,0.711411655,11.07969475
30,AC02,1.706090689,2024-02-01 0:00:00,1.206394434,0.499696314,10.07433987
31,AC02,1.735936165,2024-02-02 0:00:00,1.229597092,0.506339014,10.10315228
32,AC02,1.76639843,2024-02-03 0:00:00,1.253322482,0.513075948,10.09248447
33,AC02,1.797493935,2024-02-04 0:00:00,1.277575374,0.519918501,10.1240139
34,AC02,1.8292135,2024-02-05 0:00:00,1.302350283,0.526863217,10.17777157
35,AC02,1.861551762,2024-02-06 0:00:00,1.327641964,0.533909798,10.19166279
36,AC02,1.894435287,2024-02-07 0:00:00,1.353416562,0.541018665,10.18875694
37,AC02,1.927912354,2024-02-08 0:00:00,1.379691958,0.548220396,10.23131847
38,AC02,1.960989356,2024-02-09 0:00:00,1.405887008,0.555102229,10.23766041
39,AC02,1.996635318,2024-02-10 0:00:00,1.433751702,0.562883675,10.27699471
40,AC02,2.031236649,2024-02-11 0:00:00,1.461225152,0.570011497,10.34621334
41,AC02,2.066918135,2024-02-12 0:00:00,1.489405155,0.57751292,10.31307125
42,AC02,2.103114128,2024-02-13 0:00:00,1.518036008,0.585078001,10.43507099
43,AC02,2.139802694,2024-02-14 0:00:00,1.547100306,0.592702329,10.37916946
44,AC02,2.176978111,2024-02-15 0:00:00,1.576591611,0.60038656,10.46381092
45,AC02,2.214627266,2024-02-16 0:00:00,1.606499076,0.608128309,10.50089073
46,AC02,2.252737761,2024-02-17 0:00:00,1.636812091,0.61592567,10.586236
47,AC02,2.29127121,2024-02-18 0:00:00,1.667511344,0.623759806,10.61239624
48,AC02,2.33022809,2024-02-19 0:00:00,1.698590159,0.63163805,10.63998508
49,AC02,2.369597435,2024-02-20 0:00:00,1.73003757,0.639559865,10.63950825
50,AC02,2.409366131,2024-02-21 0:00:00,1.761842728,0.647523403,10.72198963
51,AC02,2.449514389,2024-02-22 0:00:00,1.793991685,0.655522764,10.77684402
52,AC02,2.489999533,2024-02-23 0:00:00,1.82646203,0.663537502,10.81940174
53,AC02,2.53083396,2024-02-24 0:00:00,1.85925138,0.67158258,10.8926487
54,AC02,2.572003841,2024-02-25 0:00:00,1.892347693,0.679656267,10.96617222
55,AC02,2.613496304,2024-02-26 0:00:00,1.925739169,0.687757194,10.93341732
56,AC02,2.655274153,2024-02-27 0:00:00,1.959404826,0.695869386,11.04735088
57,AC02,2.69730401,2024-02-28 0:00:00,1.993323922,0.703979969,11.03943062
58,AC02,2.739601612,2024-02-29 0:00:00,2.027495861,0.71210587,11.13851833
59,DC01,1.593677402,2024-02-01 0:00:00,1.101678252,0.491999149,10.07889557
60,DC01,1.622818947,2024-02-02 0:00:00,1.12412703,0.498691976,10.07533836
61,DC01,1.652605534,2024-02-03 0:00:00,1.147113204,0.50549227,10.13095284
62,DC01,1.682988524,2024-02-04 0:00:00,1.170615435,0.512373149,10.20234871
63,DC01,1.714005709,2024-02-05 0:00:00,1.194648147,0.519357622,10.18290329
64,DC01,1.745651245,2024-02-06 0:00:00,1.219207287,0.526444018,10.23861217
65,DC01,1.7779181,2024-02-07 0:00:00,1.244288683,0.533629537,10.26298904
66,DC01,1.810747623,2024-02-08 0:00:00,1.269863844,0.54088378,10.28637791
67,DC01,1.843061924,2024-02-09 0:00:00,1.295300961,0.547760963,10.35988998
68,DC01,1.878183365,2024-02-10 0:00:00,1.322549701,0.555633664,10.33464813
69,DC01,1.912772298,2024-02-11 0:00:00,1.349636197,0.563136041,10.4233532
70,DC01,1.947320461,2024-02-12 0:00:00,1.376923203,0.570397198,10.42874718
71,DC01,1.982958317,2024-02-13 0:00:00,1.404934883,0.578023374,10.46932125
72,DC01,2.019117117,2024-02-14 0:00:00,1.433404446,0.585712731,10.49433613
73,DC01,2.055777311,2024-02-15 0:00:00,1.462319851,0.59345758,10.55305099
74,DC01,2.092933416,2024-02-16 0:00:00,1.491673708,0.601259708,10.55882645
75,DC01,2.130573034,2024-02-17 0:00:00,1.521456122,0.609116793,10.59059238
76,DC01,2.168684483,2024-02-18 0:00:00,1.551657438,0.617026985,10.64321232
77,DC01,2.207235098,2024-02-19 0:00:00,1.582260132,0.624974906,10.68425941
78,DC01,2.246217728,2024-02-20 0:00:00,1.613255501,0.632962108,10.74687576
79,DC01,2.285625935,2024-02-21 0:00:00,1.644635439,0.640990555,10.70106792
80,DC01,2.325448036,2024-02-22 0:00:00,1.676389575,0.649058402,10.83128166
81,DC01,2.365670443,2024-02-23 0:00:00,1.708507061,0.657163262,10.82826042
82,DC01,2.40623951,2024-02-24 0:00:00,1.740960717,0.665278733,10.89267445
83,DC01,2.447174311,2024-02-25 0:00:00,1.773751855,0.673422456,10.9751091
84,DC01,2.488461971,2024-02-26 0:00:00,1.806869268,0.681592762,11.01912403
85,DC01,2.530090332,2024-02-27 0:00:00,1.840301991,0.689788222,11.06399441
86,DC01,2.572027922,2024-02-28 0:00:00,1.874030948,0.697996974,11.07947922
87,DC01,2.614228487,2024-02-29 0:00:00,1.908029675,0.706198692,11.11420727
88,EC01,1.708806276,2024-02-01 0:00:00,1.208961844,0.499844462,10.86370468
89,EC01,1.738670349,2024-02-02 0:00:00,1.232181668,0.506488681,10.87539387
90,EC01,1.769149184,2024-02-03 0:00:00,1.255922079,0.513227105,10.87794685
91,EC01,1.800262094,2024-02-04 0:00:00,1.280190945,0.520071208,10.85934067
92,EC01,1.832000375,2024-02-05 0:00:00,1.30498302,0.527017415,10.89749813
93,EC01,1.864359379,2024-02-06 0:00:00,1.330293775,0.534065545,10.98480129
94,EC01,1.897258162,2024-02-07 0:00:00,1.356082201,0.541176021,10.97585869
95,EC01,1.930750966,2024-02-08 0:00:00,1.382371664,0.548379302,11.04168415
96,EC01,1.963779926,2024-02-09 0:00:00,1.408517361,0.555262566,11.07484722
97,EC01,1.999505877,2024-02-10 0:00:00,1.436460137,0.56304574,11.09324551
98,EC01,2.034066439,2024-02-11 0:00:00,1.463891506,0.570175052,11.11931705
99,EC01,2.069761038,2024-02-12 0:00:00,1.492082834,0.577678084,11.16628361
100,EC01,2.105965376,2024-02-13 0:00:00,1.520720482,0.585244834,11.21998692
101,EC01,2.142663956,2024-02-14 0:00:00,1.549793124,0.592870831,11.19807339
102,EC01,2.179849148,2024-02-15 0:00:00,1.579292417,0.600556731,11.23601055
103,EC01,2.217507839,2024-02-16 0:00:00,1.609207749,0.60830009,11.23285103
104,EC01,2.255627871,2024-02-17 0:00:00,1.639528871,0.616099119,11.31804848
105,EC01,2.294168711,2024-02-18 0:00:00,1.670233727,0.623934925,11.37531185
106,EC01,2.333132267,2024-02-19 0:00:00,1.70131743,0.631814897,11.34445763
107,EC01,2.372508287,2024-02-20 0:00:00,1.732769966,0.639738321,11.31807899
108,EC01,2.412283897,2024-02-21 0:00:00,1.76458025,0.647703528,11.35111046
109,EC01,2.45243907,2024-02-22 0:00:00,1.796734333,0.655704618,11.38453579
110,EC01,2.492927551,2024-02-23 0:00:00,1.829206467,0.663721025,11.43844891
111,EC01,2.533765316,2024-02-24 0:00:00,1.861997366,0.671767771,11.44741058
112,EC01,2.574939013,2024-02-25 0:00:00,1.895095706,0.679843187,11.4699316
113,EC01,2.616435766,2024-02-26 0:00:00,1.928489923,0.687945783,11.46020317
114,EC01,2.658216,2024-02-27 0:00:00,1.962156296,0.696059644,11.51401711
115,EC01,2.700244665,2024-02-28 0:00:00,1.996072769,0.704171896,11.51298809
116,EC01,2.742541552,2024-02-29 0:00:00,2.030241966,0.712299526,11.56640339
117,EC02,1.74242413,2024-02-01 0:00:00,1.242349982,0.500074208,10.86370468
118,EC02,1.772564888,2024-02-02 0:00:00,1.265844107,0.506720841,10.91110897
119,EC02,1.803319693,2024-02-03 0:00:00,1.289857984,0.513461649,10.91128063
120,EC02,1.834706187,2024-02-04 0:00:00,1.31439805,0.520308256,10.92600727
121,EC02,1.866715193,2024-02-05 0:00:00,1.339458227,0.527256966,10.9744215
