date,mean_temp,cum_degree_days,LocationID,BRDYEAR,first_breeding,rain_to_date,NumberofEggMasses,yearly_rain,yearly_rain_lag,water_flow,water_regime,WaterVis,DrySurvey,dir_dur,cum_sun_hours,beginning_WY
2014-02-19T00:00:00Z,10.297791666666667,12.748166666666666,RC07,2014,141,13.92,1,22.93,50.91,lentic,perennial,0,FALSE,10.67331791,1416.199189165,2013-10-01
2014-12-08T00:00:00Z,12.748495370370371,219.8890277777778,RC07,2015,68,9.98,1,27.67,28.01,lentic,perennial,1,FALSE,9.290808678,710.746789916,2014-10-01
2016-12-21T00:00:00Z,9.02335648148148,119.41165509259262,RC07,2017,81,15.31,1,56.51,22.93,lentic,perennial,0,FALSE,9.186355591,831.008616431,2016-10-01
2018-01-12T00:00:00Z,9.28300925925926,61.15874421296299,RC07,2018,103,9.7,1,24.45,27.67,lentic,perennial,1,FALSE,9.441225052,1035.330636008,2017-10-01
2019-01-29T00:00:00Z,9.571111111111112,96.91378472222225,RC07,2019,120,19.95,1,48.7,29.78,lentic,perennial,1,FALSE,9.888449669,1200.236604673,2018-10-01
2019-12-31T00:00:00Z,9.10400462962963,60.64553819444449,RC07,2020,91,14.45,1,22.94,56.51,lentic,perennial,1,FALSE,9.236112595,923.279032691,2019-10-01
2021-02-10T00:00:00Z,7.2778935185185185,92.38722800925929,RC07,2021,132,9.88,1,13.48,24.45,lentic,perennial,1,FALSE,10.30996132,1321.859848955,2020-10-01
2022-01-10T00:00:00Z,9.472222222222221,201.50585462962968,RC07,2022,101,31.78,1,35.68,48.7,lentic,perennial,1,FALSE,9.360679626,1016.487809165,2021-10-01
2023-01-24T00:00:00Z,9.636296296296297,20.716678240740748,RC07,2023,115,31.63,1,52.63,22.94,lentic,perennial,0,FALSE,9.779551506,1150.870413763,2022-10-01
2024-02-12T00:00:00Z,10.349027777777778,176.76156250000005,RC07,2024,134,4.67,1,4.67,13.48,lentic,perennial,1,FALSE,10.3487854,1342.554847695,2023-10-01
