LocationID,BRDYEAR,survey_count_site_yr,Watershed,EventGUID,Survey_MONTH,Weather,Wind,AirTemp,WaterTemp,WaterVis,AvgD,MaxD,HabType,ground_sub,ground_emerg,ground_open_water,DominantSub,DominantEmerg,OtherVeg,CompleteSurvey,DrySurvey,GageHeight,Validation,SurveyMethodID,WaterSalinity,SalinityMethodID,WaterFlowID,Stranded,UTMNY_EggObs,UTMEX_EggObs,HorizontalError_m,Lat_EggObs,Long_EggObs,NumberofEggMasses,RangeofEggMasses,...64,...65,...66,...67,Date,beginningWY,dayOfWY,CoastalSite,obsv_total,yearly_rain,yearly_rain_lag,interpolated_emerg,interpolated_openwater,interpolated_sub,interpolated_canopy,water_flow,water_regime,ground_percent_cover_validation,interpolated_percent_cover_validation,mean_percent_sub,mean_percent_emerg,mean_percent_water,WaterVis_continuous
MC01,2001,5,Milagra Creek,{AF763370-1E17-4F98-848C-797EE562AF63},12,Clear,NA,NA,NA,NA,0.15,0.26,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.84,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,2000-12-15,2000-10-01,75,FALSE,1,61.5188,0.1524,NA,NA,NA,NA,lentic,seasonal,FALSE,FALSE,NA,NA,NA,NA
MC01,2001,5,Milagra Creek,{0A31A93E-7A06-4EC3-B4BD-0A9CC7021B49},1,Clear,0,11.5,9,NA,NA,0.58,Pond,NA,NA,NA,NA,Cattails & Spikerush,NA,NA,FALSE,1.88,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2001-01-29,2000-10-01,120,FALSE,2,61.5188,0.1524,NA,NA,NA,NA,lentic,seasonal,FALSE,FALSE,NA,NA,NA,NA
MC01,2001,5,Milagra Creek,{82FB9B02-809D-43CB-9313-388279FA1BBC},4,Rain,NA,NA,NA,NA,NA,1.05,Pond,NA,NA,NA,NA,cattails,NA,TRUE,FALSE,3.4,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-04-06,2000-10-01,187,FALSE,2,61.5188,0.1524,NA,NA,NA,NA,lentic,seasonal,FALSE,FALSE,NA,NA,NA,NA
MC01,2001,5,Milagra Creek,{E9F03FBA-6BED-4475-BF28-7871052F4F96},1,Rain,NA,11.5,10,NA,NA,4.26,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-01-05,2000-10-01,96,FALSE,1,61.5188,0.1524,NA,NA,NA,NA,lentic,seasonal,FALSE,FALSE,NA,NA,NA,NA
MC01,2001,5,Milagra Creek,{CDCF793E-6253-44BB-87B7-00934D3BCDCF},3,Overcast,NA,10,14,1,NA,NA,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2001-03-29,2000-10-01,179,FALSE,1,61.5188,0.1524,NA,NA,NA,NA,lentic,seasonal,FALSE,FALSE,NA,NA,NA,0.45
MC01,2002,4,Milagra Creek,{114FD1DD-A24A-4609-A343-99DD8CA86E27},1,Clear,4,13,10,NA,NA,3.26,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,2002-01-13,2001-10-01,104,FALSE,2,101.3206,95.0468,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,NA
MC01,2002,4,Milagra Creek,{B814E112-73F6-42E9-9DDD-CF2EFE6DB37A},2,Rain,2,NA,NA,1,NA,3.41,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2002-02-07,2001-10-01,129,FALSE,1,101.3206,95.0468,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.6
MC01,2002,4,Milagra Creek,{4E2728AC-9B33-4ACB-8515-BA1085481873},12,Clear,2,14,8,NA,NA,NA,Pond,0,30,70,NA,"cattails, spikerush, rule",NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,2001-12-15,2001-10-01,75,FALSE,2,101.3206,95.0468,50,50,0,0,lentic,seasonal,TRUE,TRUE,0,40,60,NA
MC01,2002,4,Milagra Creek,{DB026930-9BFD-4732-9890-246F4F33AEEE},3,Rain,1,16,NA,1,NA,NA,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2002-03-22,2001-10-01,172,FALSE,2,101.3206,95.0468,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.5
MC01,2003,4,Milagra Creek,{2FA3645C-373A-45D5-B649-E39FF9B31234},3,Clear,1,16.2,12,1,NA,1.21,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3.93,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2003-03-19,2002-10-01,169,FALSE,1,101.092,98.5266,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.6
MC01,2003,4,Milagra Creek,{A5DFCA96-E5DA-44AE-8873-1649F21B1409},1,Clear,4,13,9,0,NA,1.28,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,4.14,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,2003-01-17,2002-10-01,108,FALSE,2,101.092,98.5266,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.15
MC01,2003,4,Milagra Creek,{63EBD48C-C355-4CEB-8C10-411C693356B8},2,Clear,2,14,10,NA,NA,NA,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2003-02-18,2002-10-01,140,FALSE,2,101.092,98.5266,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,NA
MC01,2003,4,Milagra Creek,{427B7DE8-43C5-408C-BFCD-1B847D0C976C},12,Overcast,4,14,8.5,NA,NA,NA,Pond,0,20,80,NA,NA,NA,NA,FALSE,0.66,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,2002-12-26,2002-10-01,86,FALSE,1,101.092,98.5266,50,50,0,0,lentic,seasonal,TRUE,TRUE,0,35,65,NA
MC01,2004,5,Milagra Creek,{D230F650-BD79-4AB0-AF13-F34380D3123E},12,Clear,2,20,9,NA,NA,0.3,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,1.54,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2003-12-18,2003-10-01,78,FALSE,1,82.0166,61.5188,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,NA
MC01,2004,5,Milagra Creek,{9EE9C58A-6D44-46A5-9E68-B540B829DFE4},3,Rain,4,11.7,12.5,1,NA,1.11,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3.6,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-03-30,2003-10-01,181,FALSE,1,82.0166,61.5188,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.45
MC01,2004,5,Milagra Creek,{5075CF09-CC2F-4980-AFEA-2CBB266049F5},2,Partial Cloud,0,12.4,11.1,1,NA,1.16,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,4.6,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2004-02-06,2003-10-01,128,FALSE,1,82.0166,61.5188,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.5
MC01,2004,5,Milagra Creek,{ED519733-876E-4B24-B12E-BD23F4654FF7},1,Overcast,4,9.6,9.2,1,NA,1.33,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,4.3,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,2004-01-16,2003-10-01,107,FALSE,2,82.0166,61.5188,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.4
MC01,2004,5,Milagra Creek,{D8EB331C-431F-44B9-A1D4-6E6DDC4F1B54},3,Clear,2,16,11,1,NA,1.42,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,4.6,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2004-03-03,2003-10-01,154,FALSE,3,82.0166,61.5188,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.35
MC01,2005,5,Milagra Creek,{E790FCC2-6895-48D3-A41F-F945F4B97AEC},12,Overcast,2,8,9,NA,NA,0.52,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,1.68,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2004-12-20,2004-10-01,80,FALSE,1,120.24360000000001,101.3206,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,NA
MC01,2005,5,Milagra Creek,{F73FC08E-9636-4A36-A10E-FBFF13D9A032},3,Clear,NA,NA,19,0,NA,3.26,Pond,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2005-03-30,2004-10-01,180,FALSE,1,120.24360000000001,101.3206,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,0.25
MC01,2005,5,Milagra Creek,{D02E67F7-17E4-4D79-8E55-74511753B882},1,Clear,2,15.1,7.5,NA,NA,4.08,Pond,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2005-01-14,2004-10-01,105,FALSE,2,120.24360000000001,101.3206,50,50,0,0,lentic,seasonal,FALSE,TRUE,0,50,50,NA
