LocationID,Watershed,BRDYEAR,dayOfWY,water_flow,water_regime,interpolated_canopy,WaterTemp,rain_to_date,breeding_status,days_since_first_rain,dir_dur,cum_sun_hours
MC01,Milagra Creek,2001,0,lentic,seasonal,NA,NA,0,0,0,11.59230804,11.59230804
MC01,Milagra Creek,2001,1,lentic,seasonal,NA,NA,0,0,0,11.56640625,23.15871429
MC01,Milagra Creek,2001,2,lentic,seasonal,NA,NA,0,0,0,11.57051849,34.729232780000004
MC01,Milagra Creek,2001,3,lentic,seasonal,NA,NA,0,0,0,11.54094982,46.2701826
MC01,Milagra Creek,2001,4,lentic,seasonal,NA,NA,0,0,0,11.45922756,57.72941016
MC01,Milagra Creek,2001,5,lentic,seasonal,NA,NA,0,0,0,11.39855194,69.1279621
MC01,Milagra Creek,2001,6,lentic,seasonal,NA,NA,0,0,0,11.42569923,80.55366133
MC01,Milagra Creek,2001,7,lentic,seasonal,NA,NA,0.127,0,0,11.34946728,91.90312861
MC01,Milagra Creek,2001,8,lentic,seasonal,NA,NA,0.7112,0,0,11.31293201,103.21606062000001
MC01,Milagra Creek,2001,9,lentic,seasonal,NA,NA,0.8382000000000001,0,1,11.35052299,114.56658361000001
MC01,Milagra Creek,2001,10,lentic,seasonal,NA,NA,0.8636,0,2,11.23538589,125.8019695
MC01,Milagra Creek,2001,11,lentic,seasonal,NA,NA,0.8636,0,3,11.22823143,137.03020093
MC01,Milagra Creek,2001,12,lentic,seasonal,NA,NA,0.8636,0,4,11.1983366,148.22853753
MC01,Milagra Creek,2001,13,lentic,seasonal,NA,NA,0.8636,0,5,11.10304832,159.33158585
MC01,Milagra Creek,2001,14,lentic,seasonal,NA,NA,0.8636,0,6,11.09760857,170.42919442
MC01,Milagra Creek,2001,15,lentic,seasonal,NA,NA,0.8636,0,7,11.08687115,181.51606557
MC01,Milagra Creek,2001,16,lentic,seasonal,NA,NA,0.8636,0,8,11.00980091,192.52586648
MC01,Milagra Creek,2001,17,lentic,seasonal,NA,NA,0.8636,0,9,10.96124554,203.48711202
MC01,Milagra Creek,2001,18,lentic,seasonal,NA,NA,0.8636,0,10,10.96471882,214.45183084
MC01,Milagra Creek,2001,19,lentic,seasonal,NA,NA,0.8636,0,11,10.88063622,225.33246706
MC01,Milagra Creek,2001,20,lentic,seasonal,NA,NA,0.8636,0,12,10.88191509,236.21438215
MC01,Milagra Creek,2001,21,lentic,seasonal,NA,NA,0.8636,0,13,10.72212791,246.93651006
MC01,Milagra Creek,2001,22,lentic,seasonal,NA,NA,0.8636,0,14,10.76947403,257.70598409
MC01,Milagra Creek,2001,23,lentic,seasonal,NA,NA,1.2192,0,15,10.73542404,268.44140813
MC01,Milagra Creek,2001,24,lentic,seasonal,NA,NA,4.0893999999999995,0,16,10.6998539,279.14126203
MC01,Milagra Creek,2001,25,lentic,seasonal,NA,NA,4.3942,0,17,10.5946312,289.73589323
MC01,Milagra Creek,2001,26,lentic,seasonal,NA,NA,4.3942,0,18,10.57891178,300.31480501
MC01,Milagra Creek,2001,27,lentic,seasonal,NA,NA,4.3942,0,19,10.52666664,310.84147165
MC01,Milagra Creek,2001,28,lentic,seasonal,NA,NA,7.0612,0,20,10.54968357,321.39115522
MC01,Milagra Creek,2001,29,lentic,seasonal,NA,NA,8.1534,0,21,10.54301834,331.93417356
MC01,Milagra Creek,2001,30,lentic,seasonal,NA,NA,8.2042,0,22,10.44018745,342.37436101
MC01,Milagra Creek,2001,31,lentic,seasonal,NA,NA,8.2042,0,23,10.37564754,352.75000855
MC01,Milagra Creek,2001,32,lentic,seasonal,NA,NA,8.2042,0,24,10.36920357,363.11921212
MC01,Milagra Creek,2001,33,lentic,seasonal,NA,NA,8.2042,0,25,10.30528831,373.42450043
MC01,Milagra Creek,2001,34,lentic,seasonal,NA,NA,8.2042,0,26,10.31541252,383.73991295
MC01,Milagra Creek,2001,35,lentic,seasonal,NA,NA,8.2042,0,27,10.2964592,394.03637215
MC01,Milagra Creek,2001,36,lentic,seasonal,NA,NA,8.2042,0,28,10.2802124,404.31658455
MC01,Milagra Creek,2001,37,lentic,seasonal,NA,NA,8.2042,0,29,10.25293922,414.56952377
MC01,Milagra Creek,2001,38,lentic,seasonal,NA,NA,8.2042,0,30,10.19575787,424.76528164
MC01,Milagra Creek,2001,39,lentic,seasonal,NA,NA,8.2042,0,31,10.213871,434.97915264
MC01,Milagra Creek,2001,40,lentic,seasonal,NA,NA,8.2042,0,32,10.12699604,445.10614868
MC01,Milagra Creek,2001,41,lentic,seasonal,NA,NA,8.2042,0,33,10.12985134,455.23600002
MC01,Milagra Creek,2001,42,lentic,seasonal,NA,NA,8.2042,0,34,10.08462238,465.3206224
MC01,Milagra Creek,2001,43,lentic,seasonal,NA,NA,8.8392,0,35,9.999468803,475.320091203
MC01,Milagra Creek,2001,44,lentic,seasonal,NA,NA,8.89,0,36,10.02238369,485.342474893
MC01,Milagra Creek,2001,45,lentic,seasonal,NA,NA,9.144,0,37,9.990645409,495.333120302
MC01,Milagra Creek,2001,46,lentic,seasonal,NA,NA,9.144,0,38,9.960124969,505.293245271
MC01,Milagra Creek,2001,47,lentic,seasonal,NA,NA,9.144,0,39,9.92460537,515.217850641
MC01,Milagra Creek,2001,48,lentic,seasonal,NA,NA,9.144,0,40,9.814207077,525.032057718
MC01,Milagra Creek,2001,49,lentic,seasonal,NA,NA,9.144,0,41,9.826241493,534.858299211
MC01,Milagra Creek,2001,50,lentic,seasonal,NA,NA,9.144,0,42,9.797299385,544.655598596
MC01,Milagra Creek,2001,51,lentic,seasonal,NA,NA,9.9314,0,43,9.813304901,554.468903497
MC01,Milagra Creek,2001,52,lentic,seasonal,NA,NA,9.9314,0,44,9.693496704,564.162400201
MC01,Milagra Creek,2001,53,lentic,seasonal,NA,NA,9.9314,0,45,9.762244225,573.924644426
MC01,Milagra Creek,2001,54,lentic,seasonal,NA,NA,10.0076,0,46,9.705270767,583.629915193
MC01,Milagra Creek,2001,55,lentic,seasonal,NA,NA,10.0076,0,47,9.593462944,593.223378137
MC01,Milagra Creek,2001,56,lentic,seasonal,NA,NA,10.0076,0,48,9.685988426,602.909366563
MC01,Milagra Creek,2001,57,lentic,seasonal,NA,NA,10.0076,0,49,9.634871483,612.544238046
MC01,Milagra Creek,2001,58,lentic,seasonal,NA,NA,10.0076,0,50,9.646164894,622.19040294
MC01,Milagra Creek,2001,59,lentic,seasonal,NA,NA,11.531600000000001,0,51,9.603578568,631.793981508
MC01,Milagra Creek,2001,60,lentic,seasonal,NA,NA,11.557,0,52,9.552910805,641.346892313
MC01,Milagra Creek,2001,61,lentic,seasonal,NA,NA,11.5824,0,53,9.509283066,650.856175379
MC01,Milagra Creek,2001,62,lentic,seasonal,NA,NA,11.6586,0,54,9.480946541,660.33712192
MC01,Milagra Creek,2001,63,lentic,seasonal,NA,NA,11.6586,0,55,9.492182732,669.829304652
MC01,Milagra Creek,2001,64,lentic,seasonal,NA,NA,11.6586,0,56,9.415584564,679.244889216
MC01,Milagra Creek,2001,65,lentic,seasonal,NA,NA,11.6586,0,57,9.450980186,688.695869402
MC01,Milagra Creek,2001,66,lentic,seasonal,NA,NA,11.6586,0,58,9.463074684,698.158944086
MC01,Milagra Creek,2001,67,lentic,seasonal,NA,NA,11.6586,0,59,9.369441032,707.528385118
MC01,Milagra Creek,2001,68,lentic,seasonal,NA,NA,11.6586,0,60,9.388243675,716.916628793
MC01,Milagra Creek,2001,69,lentic,seasonal,NA,NA,11.7094,0,61,9.416472435,726.333101228
MC01,Milagra Creek,2001,70,lentic,seasonal,NA,NA,11.7094,0,62,9.364490509,735.697591737
MC01,Milagra Creek,2001,71,lentic,seasonal,NA,NA,12.573,0,63,9.337804794,745.035396531
MC01,Milagra Creek,2001,72,lentic,seasonal,NA,NA,12.6492,0,64,9.340325356,754.3757218869999
MC01,Milagra Creek,2001,73,lentic,seasonal,NA,NA,14.605,0,65,9.372930527,763.748652414
MC01,Milagra Creek,2001,74,lentic,seasonal,NA,NA,15.5448,0,66,9.367994308,773.116646722
MC01,Milagra Creek,2001,75,lentic,seasonal,NA,NA,15.5956,1,67,9.30380249,782.420449212
MC01,Milagra Creek,2002,0,lentic,seasonal,0,8,0,0,0,11.59230804,11.59230804
MC01,Milagra Creek,2002,1,lentic,seasonal,0,8,0,0,0,11.56640625,23.15871429
MC01,Milagra Creek,2002,2,lentic,seasonal,0,8,0,0,0,11.57051849,34.729232780000004
MC01,Milagra Creek,2002,3,lentic,seasonal,0,8,0,0,0,11.54094982,46.2701826
MC01,Milagra Creek,2002,4,lentic,seasonal,0,8,0,0,0,11.45922756,57.72941016
MC01,Milagra Creek,2002,5,lentic,seasonal,0,8,0,0,0,11.39855194,69.1279621
MC01,Milagra Creek,2002,6,lentic,seasonal,0,8,0,0,0,11.42569923,80.55366133
MC01,Milagra Creek,2002,7,lentic,seasonal,0,8,0,0,0,11.34946728,91.90312861
MC01,Milagra Creek,2002,8,lentic,seasonal,0,8,0,0,0,11.31293201,103.21606062000001
MC01,Milagra Creek,2002,9,lentic,seasonal,0,8,0,0,0,11.35052299,114.56658361000001
MC01,Milagra Creek,2002,10,lentic,seasonal,0,8,0,0,0,11.23538589,125.8019695
MC01,Milagra Creek,2002,11,lentic,seasonal,0,8,0,0,0,11.22823143,137.03020093
MC01,Milagra Creek,2002,12,lentic,seasonal,0,8,0,0,0,11.1983366,148.22853753
MC01,Milagra Creek,2002,13,lentic,seasonal,0,8,0,0,0,11.10304832,159.33158585
MC01,Milagra Creek,2002,14,lentic,seasonal,0,8,0,0,0,11.09760857,170.42919442
MC01,Milagra Creek,2002,15,lentic,seasonal,0,8,0,0,0,11.08687115,181.51606557
MC01,Milagra Creek,2002,16,lentic,seasonal,0,8,0,0,0,11.00980091,192.52586648
MC01,Milagra Creek,2002,17,lentic,seasonal,0,8,0,0,0,10.96124554,203.48711202
MC01,Milagra Creek,2002,18,lentic,seasonal,0,8,0,0,0,10.96471882,214.45183084
MC01,Milagra Creek,2002,19,lentic,seasonal,0,8,0,0,0,10.88063622,225.33246706
MC01,Milagra Creek,2002,20,lentic,seasonal,0,8,0,0,0,10.88191509,236.21438215
MC01,Milagra Creek,2002,21,lentic,seasonal,0,8,0,0,0,10.72212791,246.93651006
MC01,Milagra Creek,2002,22,lentic,seasonal,0,8,0,0,0,10.76947403,257.70598409
MC01,Milagra Creek,2002,23,lentic,seasonal,0,8,0,0,0,10.73542404,268.44140813
MC01,Milagra Creek,2002,24,lentic,seasonal,0,8,0,0,0,10.6998539,279.14126203
MC01,Milagra Creek,2002,25,lentic,seasonal,0,8,0,0,0,10.5946312,289.73589323
MC01,Milagra Creek,2002,26,lentic,seasonal,0,8,0,0,0,10.57891178,300.31480501
MC01,Milagra Creek,2002,27,lentic,seasonal,0,8,0,0,0,10.52666664,310.84147165
MC01,Milagra Creek,2002,28,lentic,seasonal,0,8,0,0,0,10.54968357,321.39115522
MC01,Milagra Creek,2002,29,lentic,seasonal,0,8,2.0066,0,0,10.54301834,331.93417356
MC01,Milagra Creek,2002,30,lentic,seasonal,0,8,2.2606,0,1,10.44018745,342.37436101
MC01,Milagra Creek,2002,31,lentic,seasonal,0,8,2.2606,0,2,10.37564754,352.75000855
MC01,Milagra Creek,2002,32,lentic,seasonal,0,8,2.2606,0,3,10.36920357,363.11921212
MC01,Milagra Creek,2002,33,lentic,seasonal,0,8,2.2606,0,4,10.30528831,373.42450043
MC01,Milagra Creek,2002,34,lentic,seasonal,0,8,2.2606,0,5,10.31541252,383.73991295
MC01,Milagra Creek,2002,35,lentic,seasonal,0,8,2.2606,0,6,10.2964592,394.03637215
MC01,Milagra Creek,2002,36,lentic,seasonal,0,8,2.2606,0,7,10.2802124,404.31658455
MC01,Milagra Creek,2002,37,lentic,seasonal,0,8,2.2606,0,8,10.25293922,414.56952377
MC01,Milagra Creek,2002,38,lentic,seasonal,0,8,2.2606,0,9,10.19575787,424.76528164
MC01,Milagra Creek,2002,39,lentic,seasonal,0,8,2.2606,0,10,10.213871,434.97915264
MC01,Milagra Creek,2002,40,lentic,seasonal,0,8,2.2606,0,11,10.12699604,445.10614868
MC01,Milagra Creek,2002,41,lentic,seasonal,0,8,2.2606,0,12,10.12985134,455.23600002
MC01,Milagra Creek,2002,42,lentic,seasonal,0,8,2.2606,0,13,10.08462238,465.3206224
MC01,Milagra Creek,2002,43,lentic,seasonal,0,8,11.5824,0,14,9.999468803,475.320091203
MC01,Milagra Creek,2002,44,lentic,seasonal,0,8,11.9888,0,15,10.02238369,485.342474893
MC01,Milagra Creek,2002,45,lentic,seasonal,0,8,12.0396,0,16,9.990645409,495.333120302
MC01,Milagra Creek,2002,46,lentic,seasonal,0,8,12.0396,0,17,9.960124969,505.293245271
MC01,Milagra Creek,2002,47,lentic,seasonal,0,8,12.0396,0,18,9.92460537,515.217850641
MC01,Milagra Creek,2002,48,lentic,seasonal,0,8,12.0904,0,19,9.814207077,525.032057718
MC01,Milagra Creek,2002,49,lentic,seasonal,0,8,12.0904,0,20,9.826241493,534.858299211
MC01,Milagra Creek,2002,50,lentic,seasonal,0,8,12.2174,0,21,9.797299385,544.655598596
MC01,Milagra Creek,2002,51,lentic,seasonal,0,8,12.7508,0,22,9.813304901,554.468903497
MC01,Milagra Creek,2002,52,lentic,seasonal,0,8,12.7508,0,23,9.693496704,564.162400201
MC01,Milagra Creek,2002,53,lentic,seasonal,0,8,12.7508,0,24,9.762244225,573.924644426
MC01,Milagra Creek,2002,54,lentic,seasonal,0,8,12.7508,0,25,9.705270767,583.629915193
MC01,Milagra Creek,2002,55,lentic,seasonal,0,8,12.7508,0,26,9.593462944,593.223378137
MC01,Milagra Creek,2002,56,lentic,seasonal,0,8,18.8722,0,27,9.685988426,602.909366563
MC01,Milagra Creek,2002,57,lentic,seasonal,0,8,18.8722,0,28,9.634871483,612.544238046
MC01,Milagra Creek,2002,58,lentic,seasonal,0,8,18.8722,0,29,9.646164894,622.19040294
MC01,Milagra Creek,2002,59,lentic,seasonal,0,8,25.1206,0,30,9.603578568,631.793981508
