Watershed,LocationID,BRDYEAR,dayOfWY,NumberofEggMasses,yearly_rain,yearly_rain_lag,water_flow,water_regime,rain_to_date,dir_dur,cum_sun_hours
Milagra Creek,MC01,2001,75,20,24.22,0.06,lentic,seasonal,6.14,9.30380249,782.420449212
Milagra Creek,MC01,2002,75,27,39.89,37.42,lentic,seasonal,17.48,9.30380249,782.420449212
Milagra Creek,MC01,2003,86,35,39.8,38.79,lentic,seasonal,21.259999999999998,9.269330978,884.830785706
Redwood Creek,RC01,2003,119,1,39.8,38.79,lentic,perennial,29.25,9.908557892,1194.413412096
Redwood Creek,RC02,2003,142,1,39.8,38.79,lentic,seasonal,32.14,10.71093559,1431.731825837
Redwood Creek,RC03,2003,151,1,39.8,38.79,lentic,seasonal,32.48,11.13851833,1530.668602012
Laguna Salada,LS01,2004,128,35,32.29,24.22,lentic,perennial,22.990000000000002,10.28089428,1290.547045697
Milagra Creek,MC01,2004,107,39,32.29,24.22,lentic,seasonal,19.79,9.670017242,1082.906727742
Laguna Salada,LS01,2005,133,8,47.34,39.89,lentic,perennial,27.44,10.47941113,1342.323606487
Laguna Salada,LS05,2005,124,3,47.34,39.89,lentic,perennial,27.43,10.14125061,1248.127576824
Milagra Creek,MC01,2005,80,7,47.34,39.89,lentic,seasonal,13.16,9.31821537,829.013136819
Rodeo Lagoon,RL02,2005,103,1,47.34,39.89,lentic,perennial,26.16,10.26070023,1088.896719005
Laguna Salada,LS01,2006,97,8,55.78,39.8,lentic,perennial,29.35,9.47701931,986.246372218
Laguna Salada,LS05,2006,97,6,55.78,39.8,lentic,perennial,29.35,9.438557625,985.083929063
Laguna Salada,LS06,2006,116,3,55.78,39.8,lentic,seasonal,31.03,9.840676308,1165.900489801
Milagra Creek,MC01,2006,97,20,55.78,39.8,lentic,seasonal,29.35,9.438557625,987.742209387
Rodeo Lagoon,RL02,2006,94,1,55.78,39.8,lentic,perennial,29.12,10.00712109,996.892016435
Laguna Salada,LS01,2007,136,25,24.29,32.29,lentic,perennial,17.28,10.50034332,1373.739923467
Laguna Salada,LS05,2007,117,2,24.29,32.29,lentic,perennial,12.41,9.886822701,1177.906694413
Milagra Creek,MC01,2007,101,3,24.29,32.29,lentic,seasonal,12.28,9.439745903,1025.465004873
Rodeo Lagoon,RL02,2007,109,1,24.29,32.29,lentic,perennial,12.28,10.37549591,1150.905231495
Laguna Salada,LS01,2008,120,11,31.21,47.34,lentic,perennial,23.87,10.00475025,1209.296761507
Laguna Salada,LS04,2008,135,2,31.21,47.34,lentic,perennial,28.59,10.48674011,1362.798829068
Laguna Salada,LS05,2008,107,8,31.21,47.34,lentic,perennial,17.04,9.670017242,1080.215481758
Laguna Salada,LS06,2008,134,1,31.21,47.34,lentic,seasonal,28.580000000000002,10.39590073,1348.727827063
Laguna Salada,LS08,2008,155,4,31.21,47.34,lentic,perennial,30.52,11.3230772,1577.963373155
Laguna Salada,LS11,2008,128,3,31.21,47.34,lentic,perennial,28.580000000000002,10.28089428,1292.423912057
Milagra Creek,MC01,2008,107,38,31.21,47.34,lentic,seasonal,17.04,9.670017242,1082.906727742
Rodeo Lagoon,RL02,2008,108,1,31.21,47.34,lentic,perennial,17.04,10.34798431,1140.529735585
Laguna Salada,LS01,2009,94,1,29.08,55.78,lentic,perennial,8.8,9.328244209,958.016866679
Laguna Salada,LS05,2009,114,6,29.08,55.78,lentic,perennial,9.450000000000001,9.828181267,1148.346621513
Laguna Salada,LS07,2009,91,1,29.08,55.78,lentic,seasonal,8.4,9.3055439,927.246989237
Laguna Salada,LS08,2009,91,6,29.08,55.78,lentic,perennial,8.4,9.3055439,928.1168251
Laguna Salada,LS09,2009,159,1,29.08,55.78,lotic,perennial,24.53,11.44947338,1628.124195083
Milagra Creek,MC01,2009,159,12,29.08,55.78,lentic,seasonal,24.53,11.44947338,1629.555332128
Rodeo Lagoon,RL02,2009,160,5,29.08,55.78,lentic,perennial,24.54,11.44649506,1703.351086645
Laguna Salada,LS01,2010,87,1,42.65,24.29,lentic,perennial,11.38,9.279340744,892.92476272
Laguna Salada,LS04,2010,104,1,42.65,24.29,lentic,perennial,12.91,9.594127655,1052.478847497
Laguna Salada,LS05,2010,97,3,42.65,24.29,lentic,perennial,12.030000000000001,9.438557625,985.083929063
Laguna Salada,LS06,2010,119,1,42.65,24.29,lentic,seasonal,22.67,9.991209984,1195.733046526
Laguna Salada,LS07,2010,97,8,42.65,24.29,lentic,seasonal,12.030000000000001,9.40009594,983.276860224
Laguna Salada,LS08,2010,97,8,42.65,24.29,lentic,perennial,12.030000000000001,9.438557625,984.185157772
Laguna Salada,LS11,2010,132,12,42.65,24.29,lentic,perennial,25.23,10.39009571,1333.721061717
Milagra Creek,MC01,2010,119,47,42.65,24.29,lentic,seasonal,22.67,10.02454281,1200.686897231
Rodeo Lagoon,RL02,2010,125,1,42.65,24.29,lentic,perennial,23.07,10.58958149,1318.872338305
Laguna Salada,LS01,2011,95,4,50.91,31.21,lentic,perennial,24.18,9.351371765,967.368238444
Laguna Salada,LS04,2011,86,1,50.91,31.21,lentic,perennial,19.24,9.227663994,883.34789466
Laguna Salada,LS05,2011,97,1,50.91,31.21,lentic,perennial,24.19,9.438557625,985.083929063
Laguna Salada,LS06,2011,97,12,50.91,31.21,lentic,seasonal,24.19,9.40009594,983.733843797
Laguna Salada,LS07,2011,76,2,50.91,31.21,lentic,seasonal,13.06,9.293087006,788.122764572
Laguna Salada,LS08,2011,76,4,50.91,31.21,lentic,perennial,13.06,9.293087006,788.992600435
Laguna Salada,LS09,2011,166,1,50.91,31.21,lotic,perennial,36.48,11.78243637,1709.484373073
Laguna Salada,LS11,2011,88,6,50.91,31.21,lentic,perennial,22.68,9.312261581,903.449420921
Milagra Creek,MC01,2011,97,34,50.91,31.21,lentic,seasonal,24.19,9.438557625,987.742209387
Rodeo Lagoon,RL02,2011,101,1,50.91,31.21,lentic,perennial,24.2,10.20927143,1068.337820075
Kanoff Creek,KC01,2012,122,3,28.01,29.08,lentic,seasonal,11.96,10.14222336,1234.000929846
Laguna Salada,LS01,2012,118,10,28.01,29.08,lentic,perennial,11.96,9.95452404,1189.300801273
Laguna Salada,LS04,2012,136,1,28.01,29.08,lentic,perennial,12.78,10.50034332,1373.299172388
Laguna Salada,LS05,2012,123,3,28.01,29.08,lentic,perennial,11.97,10.08317661,1237.986326214
Laguna Salada,LS06,2012,123,7,28.01,29.08,lentic,seasonal,11.97,10.08317661,1235.866944303
Laguna Salada,LS07,2012,104,11,28.01,29.08,lentic,seasonal,4.97,9.51995182,1049.249836908
Laguna Salada,LS08,2012,104,8,28.01,29.08,lentic,perennial,4.97,9.558413506,1050.435272213
Laguna Salada,LS11,2012,118,1,28.01,29.08,lentic,perennial,11.96,9.99023819,1190.959902757
Milagra Creek,MC01,2012,123,19,28.01,29.08,lentic,seasonal,11.97,10.11889076,1240.892223308
Redwood Creek,RC07,2012,139,3,28.01,29.08,lentic,perennial,12.85,10.55290222,1394.915856335
Redwood Creek,RC10,2012,139,1,28.01,29.08,lentic,seasonal,12.85,10.58623505,1400.600060476
Rodeo Lagoon,RL02,2012,94,1,28.01,29.08,lentic,perennial,4.97,10.00712109,996.892016435
Kanoff Creek,KC01,2013,70,8,26.13,42.65,lentic,seasonal,13.940000000000001,9.364490509,737.12034703
Kanoff Creek,KC02,2013,148,1,26.13,42.65,both,seasonal,22.31,11.58754921,1607.90272428
Laguna Salada,LS01,2013,114,9,26.13,42.65,lentic,perennial,21.84,9.828181267,1149.786204333
Laguna Salada,LS04,2013,127,1,26.13,42.65,lentic,perennial,21.84,10.21502304,1279.825400338
Laguna Salada,LS05,2013,113,5,26.13,42.65,lentic,perennial,21.55,9.814224243,1138.518440246
Laguna Salada,LS06,2013,113,6,26.13,42.65,lentic,seasonal,21.55,9.778510094,1136.434772485
