LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,yearly_rain_lag,AirTemp,WaterTemp,water_flow,water_regime,WaterVis,DrySurvey,MaxD_yearly,MaxD_proportion,dir_dur,cum_sun_hours,status
MC01,2001,Milagra Creek,75,6.14,0.26,1,24.22,0.06,NA,NA,lentic,seasonal,NA,TRUE,0.3017391304347826,0.861671469740634,9.30380249,782.420449212,2
MC01,2002,Milagra Creek,75,17.48,NA,1,39.89,37.42,14,8,lentic,seasonal,NA,FALSE,3.268333333333333,NA,9.30380249,782.420449212,2
MC01,2003,Milagra Creek,86,21.26,NA,1,39.8,38.79,14,8.5,lentic,seasonal,NA,FALSE,1.28,NA,9.269330978,884.830785706,2
RC01,2003,Redwood Creek,119,29.25,NA,1,39.8,38.79,9,12,lentic,perennial,NA,FALSE,NA,NA,9.908557892,1194.413412096,2
RC02,2003,Redwood Creek,142,32.14,0.27,1,39.8,38.79,12,12,lentic,seasonal,NA,FALSE,0.27,1,10.71093559,1431.731825837,2
RC03,2003,Redwood Creek,151,32.48,NA,1,39.8,38.79,14,17,lentic,seasonal,NA,FALSE,NA,NA,11.13851833,1530.668602012,2
LS01,2004,Laguna Salada,128,22.99,NA,1,32.29,24.22,12.1,10.7,lentic,perennial,NA,FALSE,NA,NA,10.28089428,1290.547045697,2
MC01,2004,Milagra Creek,107,19.79,1.33,1,32.29,24.22,9.6,9.2,lentic,seasonal,1,FALSE,1.3322500000000002,0.9983111277913304,9.670017242,1082.906727742,2
LS01,2005,Laguna Salada,133,27.44,NA,1,47.34,39.89,16.1,NA,lentic,perennial,NA,FALSE,NA,NA,10.47941113,1342.323606487,2
LS05,2005,Laguna Salada,124,27.43,NA,1,47.34,39.89,17,14.6,lentic,perennial,NA,FALSE,NA,NA,10.14125061,1248.127576824,2
MC01,2005,Milagra Creek,80,13.16,0.52,1,47.34,39.89,8,9,lentic,seasonal,NA,FALSE,2.6141176470588237,0.1989198919891989,9.31821537,829.013136819,2
RL02,2005,Rodeo Lagoon,103,26.16,NA,1,47.34,39.89,12,9,lentic,perennial,NA,FALSE,1.5,NA,10.26070023,1088.896719005,2
LS01,2006,Laguna Salada,97,29.35,NA,1,55.78,39.8,17.7,NA,lentic,perennial,NA,FALSE,NA,NA,9.47701931,986.246372218,2
LS05,2006,Laguna Salada,97,29.35,NA,1,55.78,39.8,NA,10,lentic,perennial,NA,FALSE,NA,NA,9.438557625,985.083929063,2
LS06,2006,Laguna Salada,116,31.03,1.16,1,55.78,39.8,15,10,lentic,seasonal,0,FALSE,1.16,1,9.840676308,1165.900489801,2
MC01,2006,Milagra Creek,97,29.35,3.75,1,55.78,39.8,NA,11.5,lentic,seasonal,0,FALSE,3.533333333333333,1.0613207547169812,9.438557625,987.742209387,2
RL02,2006,Rodeo Lagoon,94,29.12,2,1,55.78,39.8,12,10.5,lentic,perennial,NA,FALSE,1.8,1.1111111111111112,10.00712109,996.892016435,2
